"Age","Sexe","Niveau d'étude","Combien de jeux y a-t-il dans votre ludothèque ?","A quelle fréquence jouez-vous ?","Dans quel(s) contexte(s) jouez-vous ?","Regardez-vous des vidéos relatives à certains de vos jeux favoris ? Si oui, des vidéos-règles, des parties filmées ou bien les deux ?","Suivez-vous et regardez-vous de manière régulière une chaîne youtube ludique ? Si oui, laquelle ?"
"entre 30 et 39 ans","Homme","Bac+3","entre 10 et 20","1 fois / semaine","soirée à la maison entre amis;en famille","Nop","Aucune"
"entre 20 et 29 ans","Homme","Bac+3","entre 10 et 20","plus de 3 fois / semaine","soirée à la maison entre amis;soirée au bar à jeu ou en boutique;en compétitif","Deck-profile;Parties filmées","random"
"entre 30 et 39 ans","Homme","Bac+2","entre 5 et 10","plus de 3 fois / semaine","soirée à la maison entre amis","Vidéo-règles;Parties filmées","le passe temps"
"40 ans et plus","Femme","BAC+4","entre 20 et 40","plus de 3 fois / semaine","soirée à la maison entre amis;en famille;Solo","Nop","Aucune"
"entre 30 et 39 ans","Homme","Bac+2","Moins de 5","moins de 4 fois / mois","soirée à la maison entre amis","Nop","Aucune"
"entre 30 et 39 ans","Homme","Bac+5","entre 10 et 20","2 fois / semaine","soirée à la maison entre amis;soirée au bar à jeu ou en boutique;en compétitif;en famille","Vidéo-règles;Deck-profile;Parties filmées","crossworldtcg"
"40 ans et plus","Femme","Bac+5","entre 5 et 10","moins de 4 fois / mois","soirée à la maison entre amis;en famille","Nop","Aucune"
"entre 30 et 39 ans","Femme","Bac+2","Moins de 5","moins de 4 fois / mois","en famille","Vidéo-règles","Aucune"
"entre 30 et 39 ans","Femme","Bac+3","entre 10 et 20","2 fois / semaine","en famille","Nop","Aucune"
"entre 20 et 29 ans","Homme","BAC PRO / CAP / BAC","entre 10 et 20","1 fois / semaine","soirée à la maison entre amis;soirée au bar à jeu ou en boutique;en compétitif","Nop","Aucune"
"entre 30 et 39 ans","Homme","Bac+5","entre 10 et 20","1 fois / semaine","soirée à la maison entre amis;en famille","Vidéo-règles","videoregle.net"
"entre 30 et 39 ans","Femme","Bac+2","entre 10 et 20","moins de 4 fois / mois","soirée à la maison entre amis;en famille","Nop","Aucune"
